,0
Invasion_532,0.11768412590026855
Invasion_879,0.13214874267578125
Invasion_718,0.09579157829284668
Invasion_988,0.1296381950378418
Invasion_895,0.15976810455322266
Invasion_855,0.1334390640258789
Invasion_115,0.15559005737304688
Invasion_263,0.12688326835632324
Invasion_210,0.14149761199951172
Invasion_581,0.1462724208831787
Invasion_498,0.0920097827911377
Invasion_387,0.10325503349304199
Invasion_821,0.13534116744995117
Invasion_657,0.13091683387756348
Invasion_1002,0.1267852783203125
Invasion_376,0.13384628295898438
Invasion_60,0.10019159317016602
Invasion_619,0.13332843780517578
Invasion_19,0.10430192947387695
Invasion_248,0.09179139137268066
Invasion_702,0.1287388801574707
Invasion_75,0.11373519897460938
Invasion_171,0.10172915458679199
Invasion_315,0.12854743003845215
Invasion_882,0.12803387641906738
Invasion_174,0.13422870635986328
Invasion_885,0.12132096290588379
Invasion_585,0.12989449501037598
Invasion_550,0.13650107383728027
Invasion_101,0.10046148300170898
Invasion_662,0.12333440780639648
Invasion_549,0.11720871925354004
Invasion_191,0.10082292556762695
Invasion_889,0.11913180351257324
Invasion_837,0.1275033950805664
Invasion_155,0.129347562789917
Invasion_33,0.12729430198669434
Invasion_664,0.13432025909423828
Invasion_795,0.12964987754821777
Invasion_560,0.13151955604553223
Invasion_136,0.12801623344421387
Invasion_968,0.1323549747467041
Invasion_361,0.12858247756958008
Invasion_719,0.13087844848632812
Invasion_689,0.13139891624450684
Invasion_378,0.13100814819335938
Invasion_721,0.1270902156829834
Invasion_697,0.13330340385437012
Invasion_891,0.12455987930297852
Invasion_150,0.12384700775146484
Invasion_893,0.12411165237426758
Invasion_185,0.12697553634643555
Invasion_748,0.12734699249267578
Invasion_383,0.1333787441253662
Invasion_330,0.13296842575073242
Invasion_852,0.12491607666015625
Invasion_588,0.1289515495300293
Invasion_683,0.13086414337158203
Invasion_783,0.12591934204101562
Invasion_767,0.12808585166931152
Invasion_815,0.13412737846374512
Invasion_680,0.1333329677581787
Invasion_29,0.10349249839782715
Invasion_807,0.13118410110473633
Invasion_286,0.13028192520141602
Invasion_442,0.1033928394317627
Invasion_476,0.11987137794494629
Invasion_822,0.13405203819274902
Invasion_519,0.12673377990722656
Invasion_796,0.13598942756652832
Invasion_663,0.13498926162719727
Invasion_379,0.13768267631530762
Invasion_760,0.13234376907348633
Invasion_920,0.1337277889251709
Invasion_896,0.11929631233215332
Invasion_97,0.11409330368041992
Invasion_1006,0.13021636009216309
Invasion_620,0.12927603721618652
Invasion_846,0.12018704414367676
Invasion_864,0.12915444374084473
Invasion_1020,0.12514543533325195
Invasion_125,0.1311044692993164
Invasion_818,0.13576102256774902
Invasion_380,0.127349853515625
Invasion_399,0.1071310043334961
Invasion_576,0.13121891021728516
Invasion_814,0.13205575942993164
Invasion_914,0.12554311752319336
Invasion_866,0.12887072563171387
Invasion_244,0.12417101860046387
Invasion_876,0.1219794750213623
Invasion_671,0.12987041473388672
