,Toll Pathway of Drosophila Signaling Pathway_23868318,HH Pathway of Drosophila Signaling Pathways_23868318,Cortical Area Development_20862356,VEGF Pathway of Drosophila Signaling Pathway_23868318,FGF pathway of Drosophila Signaling Pathways_23868318,HCC1954 Breast Cell Line Short-term ErbB Network_24970389,SKBR3 Breast Cell Line Long-term ErbB Network_24970389,BT474 Breast Cell Line Long-term ErbB Network_24970389,B cell differentiation_26751566,HCC1954 Breast Cell Line Long-term ErbB Network_24970389,Body Segmentation in Drosophila 2013_23520449,SKBR3 Breast Cell Line Short-term ErbB Network_24970389,Human Gonadal Sex Determination_26573569,Regulation of the L-arabinose operon of Escherichia coli_28639170,Death Receptor Signaling_20221256,Mammalian Cell Cycle_19118495,Cardiac development_23056457,Processing of Spz Network from the Drosophila Signaling Pathway_23868318,Lac Operon_21563979
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.29906542056074764,0.0,0.13610308461749876,0.003316462322728304,0.0021102152141237508,0.010516467115098366,0.0860198802596374,0.015289119155693092,0.006732137762904523,0.002237323949985206,0.031621843888318214,0.014332740851789354,0.44230748329757685,0.032519064147735505,0.16008355655790796,0.7566053740741511,0.8390376626922128,0.01713548374853767,0.06728362241480129
2,0.4198895027624309,0.0,0.03322547816528511,0.008223491387936889,0.004301487511325744,0.021347945297822916,0.16475787601342928,0.02894966684624856,0.013283856997276485,0.006105255116550692,0.09738130456096869,0.026523429119095505,0.3145027277165793,0.06058061017613313,0.2933186847936091,0.8105766061621628,0.8408752461999464,0.035042349362609776,0.12459034242108305
3,0.5945945945945946,0.0,0.03991105112470842,0.010503238645714758,0.006555171765330777,0.03334175880242714,0.20362753032771003,0.0386722249245244,0.02009634068828307,0.010884078179424756,0.13134748860361492,0.043472719569256385,0.32181994087068877,0.09765339929430807,0.36281357383513263,0.9928374695020267,0.9710127473597009,0.051788390700499384,0.18356837362552517
4,0.7619047619047619,0.0,0.03217637409579423,0.013282525547734658,0.009171777047831509,0.03792125725644258,0.2576879161860029,0.05368454324767745,0.025952331639009223,0.011030873283922627,0.18076969597839004,0.05262163864416448,0.28168888167722517,0.11632966000051675,0.41289921292502935,0.8357284342268322,0.9718320121961935,0.065191431712809,0.2850956909811191
5,1.0,0.0,,0.016230313664513513,0.009672364653562991,0.05113452074110008,0.27368788266741023,0.06460855806117834,0.03178833466292947,0.013874427230401998,0.20931525378941176,0.06388248256430118,0.2700628755222109,0.15036592085778805,0.5489450246888674,0.8422847473757349,0.8502454881857142,0.07324987468673536,0.3140443818226771
6,,0.0,,0.01815776844977266,0.012198607190565943,0.06297105879956374,0.33922457943235496,0.0799180172877213,0.03942515575916145,0.015906210709493777,0.21949610135722605,0.07685148054480202,,0.17282668769818552,0.5701192136650414,0.6846255076986573,,0.08199344581027111,0.3509178171148468
7,,0.0,,0.025655041429496053,0.011925568481482813,0.07639852936494282,0.464347266779761,0.0890825181697589,0.041933124543942206,0.018758578468988974,0.282235473892482,0.07967096013826178,,0.18835167386095145,0.6658043787371394,,,0.10717615381904884,0.44772772094792945
8,,0.0,,0.02938667875648595,0.015503919707379398,0.08434754257272403,0.5057909276647977,0.10645280334355756,0.04716864668166858,0.022170599113433106,0.3424160433737992,0.08462029498683504,,0.208002663435651,0.7944153297530653,,,0.12602405155294258,0.48367111005135677
9,,0.0,,0.034019443005628036,0.01915218443334938,0.08841607474659395,0.5397439237503642,0.12341915927793579,0.050896606029043875,0.02224945991824418,0.37616163601041025,0.11451360639848203,,0.2270809221093253,0.8323495337448256,,,0.13638501848195564,0.5296010368086679
10,,0.0,,0.038404699428459046,0.019963460084181157,0.09803362366045379,0.5727205785968598,0.13361668469871854,0.058578433258522314,0.02691870509801153,0.4052815376320308,0.12189689453005917,,0.2689301122183411,0.8724548209623029,,,0.1476736147522504,0.5554422246062881
11,,0.0,,0.042053040113031785,0.021123153006428846,0.10721921093976042,0.6298287206553459,0.1462844511614493,0.06260140033169881,0.028300997627164006,0.42571269084539226,0.13326001945262825,,0.2777962458433634,0.9173415131528534,,,0.15729205576691296,0.6094462949516616
12,,0.0,,0.04634009721624865,0.02174920064394985,0.12042167619198596,0.6551418972997648,0.1602844301954291,0.0669994446229798,0.02922286813640437,0.45998467292338874,0.13835198835875825,,0.28264966282725645,0.9661874715349604,,,0.18469572278641275,0.6190897467565366
