,Toll Pathway of Drosophila Signaling Pathway_23868318,HH Pathway of Drosophila Signaling Pathways_23868318,Cortical Area Development_20862356,VEGF Pathway of Drosophila Signaling Pathway_23868318,SKBR3 Breast Cell Line Short-term ErbB Network_24970389,Regulation of the L-arabinose operon of Escherichia coli_28639170,Lac Operon_21563979
0,1.0,1.0,0.03149768191160444,1.0,0.9178300756083941,0.9909171650069472,0.9597789608896641
1,1.0,1.0,0.0286479309975981,1.0,0.9203694387506524,0.9904988871511292,0.95545189218638
2,1.0,1.0,0.0286479309975981,1.0,0.9007143510939591,0.989850923416361,0.9509035709383374
3,1.0,1.0,0.0286479309975981,1.0,0.9156596506936284,0.9904400533883995,0.9620849195799029
4,1.0,1.0,0.02848906476276923,1.0,0.901524288972866,0.9907396010666774,0.9577469577888084
5,1.0,1.0,0.0286479309975981,1.0,0.9208475197327247,0.9908520314709726,0.9558069867763589
6,1.0,1.0,0.03149768191160444,1.0,0.9077942403509627,0.9902602423230736,0.9572114337347238
7,1.0,1.0,0.03172613062345701,1.0,0.9322917339814176,0.9909109124923655,0.9639053012512223
8,1.0,1.0,0.028183585277161437,1.0,0.9036657152345736,0.99061657492101,0.9520056520205245
9,1.0,1.0,0.0286479309975981,1.0,0.9093474329821873,0.9913272506153377,0.9569953804373528
10,1.0,1.0,0.03149768191160444,1.0,0.9203667171058528,0.9909129976201524,0.956217895477436
11,1.0,1.0,0.0286479309975981,1.0,0.9109044479464629,0.9914470366380248,0.9549676030399529
12,1.0,1.0,0.03149768191160444,1.0,0.8987407236605631,0.9911505663098217,0.9636737705432977
13,1.0,1.0,0.0286479309975981,1.0,0.8995427074409724,0.9908572759546912,0.958645163971533
14,1.0,1.0,0.03149768191160444,1.0,0.912679179281156,0.9905032437037388,0.9646414882475535
15,1.0,1.0,0.0286479309975981,1.0,0.9030222715020756,0.9910338388922255,0.958474026636707
16,1.0,1.0,0.03149768191160444,1.0,0.9135630588562901,0.992159783584856,0.9640224384756657
17,1.0,1.0,0.0286479309975981,1.0,0.9279845592080195,0.9906273252321885,0.9591752483724182
18,1.0,1.0,0.028183585277161437,1.0,0.8935434174648348,0.9906754289304832,0.9623949988433844
19,1.0,1.0,0.03149768191160444,1.0,0.9160126014750981,0.9910927067041836,0.9666193405006476
20,1.0,1.0,0.0286479309975981,1.0,0.9233276472116574,0.9905010659269519,0.9617854395905475
21,1.0,1.0,0.0286479309975981,1.0,0.9247532516559512,0.9906786365518073,0.964164077389277
